original_filename,public_url,size
1.JPG,https://aparsclassroom.com/shop/assets/images/course-thumbnails/kazieng28/1.webp,272KB
2.JPG,https://aparsclassroom.com/shop/assets/images/course-thumbnails/kazieng28/2.webp,280KB
combo.JPG,https://aparsclassroom.com/shop/assets/images/course-thumbnails/kazieng28/combo.webp,300KB
free.JPG,https://aparsclassroom.com/shop/assets/images/course-thumbnails/kazieng28/free.webp,220KB
main.JPG,https://aparsclassroom.com/shop/assets/images/course-thumbnails/kazieng28/main.webp,280KB
